,X,Y,Z,,,-50,-38.89,-27.78,-16.67,-5.56,5.55,16.66,27.77,38.88,49.99,
28:01.9,16.66,27.77,-0.07,,,-0.07,-0.1,-0.1,-0.12,0,0,0,0,0,0,0
28:01.9,16.66,38.88,-0.06,,,-0.06,-0.06,-0.06,-0.06,0,0,0,0,0,0,0
28:01.9,16.66,49.99,-0.05,,,-0.05,-0.04,-0.01,-0.01,0,0,0,0,0,0,0
28:01.9,27.77,-50,-0.16,,,-0.16,-0.25,-0.33,0,0,0,0,0,0,0,0
28:01.9,27.77,-38.89,-0.15,,,-0.15,-0.22,-0.32,0,0,0,0,0,0,0,0
28:01.9,27.77,-27.78,-0.17,,,-0.17,-0.22,-0.27,0,0,0,0,0,0,0,0
28:01.9,27.77,-16.67,-0.13,,,-0.13,-0.2,-0.26,0,0,0,0,0,0,0,0
28:01.9,27.77,-5.56,-0.12,,,-0.12,-0.17,-0.22,0,0,0,0,0,0,0,0
28:01.9,27.77,5.55,-0.11,,,-0.11,-0.17,-0.18,0,0,0,0,0,0,0,0
28:01.9,27.77,16.66,-0.11,,,-0.11,-0.15,-0.15,0,0,0,0,0,0,0,0
28:01.9,27.77,27.77,-0.1,,,-0.1,-0.1,-0.12,0,0,0,0,0,0,0,0
28:01.9,27.77,38.88,-0.06,,,-0.06,-0.06,-0.06,0,0,0,0,0,0,0,0
28:01.9,27.77,49.99,-0.04,,,-0.04,-0.01,-0.01,0,0,0,0,0,0,0,0
28:01.9,38.88,-50,-0.25,,,-0.25,-0.33,0,0,0,0,0,0,0,0,0
28:01.9,38.88,-38.89,-0.22,,,-0.22,-0.32,0,0,0,0,0,0,0,0,0
28:01.9,38.88,-27.78,-0.22,,,-0.22,-0.27,0,0,0,0,0,0,0,0,0
28:01.9,38.88,-16.67,-0.2,,,-0.2,-0.26,0,0,0,0,0,0,0,0,0
28:01.9,38.88,-5.56,-0.17,,,-0.17,-0.22,0,0,0,0,0,0,0,0,0
28:01.9,38.88,5.55,-0.17,,,-0.17,-0.18,0,0,0,0,0,0,0,0,0
28:02.0,38.88,16.66,-0.15,,,-0.15,-0.15,0,0,0,0,0,0,0,0,0
28:02.0,38.88,27.77,-0.1,,,-0.1,-0.12,0,0,0,0,0,0,0,0,0
28:02.0,38.88,38.88,-0.06,,,-0.06,-0.06,0,0,0,0,0,0,0,0,0
28:02.0,38.88,49.99,-0.01,,,-0.01,-0.01,0,0,0,0,0,0,0,0,0
28:02.0,49.99,-50,-0.33,,,-0.33,0,0,0,0,0,0,0,0,0,0
28:02.0,49.99,-38.89,-0.32,,,-0.32,0,0,0,0,0,0,0,0,0,0
28:02.0,49.99,-27.78,-0.27,,,-0.27,0,0,0,0,0,0,0,0,0,0
28:02.0,49.99,-16.67,-0.26,,,-0.26,0,0,0,0,0,0,0,0,0,0
28:02.0,49.99,-5.56,-0.22,,,-0.22,0,0,0,0,0,0,0,0,0,0
28:02.0,49.99,5.55,-0.18,,,-0.18,0,0,0,0,0,0,0,0,0,0
28:02.0,49.99,16.66,-0.15,,,-0.15,0,0,0,0,0,0,0,0,0,0
28:02.0,49.99,27.77,-0.12,,,-0.12,0,0,0,0,0,0,0,0,0,0
28:02.0,49.99,38.88,-0.06,,,-0.06,0,0,0,0,0,0,0,0,0,0
28:02.0,49.99,49.99,-0.01,,,-0.01,0,0,0,0,0,0,0,0,0,0
